Dataset,Euclidean,RDML,LEGO,OASIS,OPML,SLMOML,MOML,MLOML-t,MLOML-s,MLOML-r
lsvt,0.435±0.041,0.457±0.046,0.435±0.041,0.435±0.041,0.479±0.037,0.444±0.052,0.441±0.042,0.479±0.039,0.432±0.039,0.479±0.029
iris,0.149±0.041,0.144±0.056,0.141±0.042,0.149±0.041,0.149±0.041,0.147±0.035,0.141±0.043,0.125±0.043,0.152±0.040,0.253±0.082
wine,0.038±0.015,0.029±0.011,0.020±0.013,0.013±0.008,0.016±0.009,0.029±0.013,0.027±0.009,0.025±0.015,0.020±0.008,0.070±0.033
spect,0.475±0.033,0.475±0.035,0.475±0.033,0.475±0.035,0.476±0.034,0.473±0.039,0.479±0.028,0.493±0.030,0.469±0.047,0.515±0.037
ionosphere,0.535±0.051,0.533±0.051,0.527±0.053,0.530±0.042,0.533±0.049,0.534±0.026,0.522±0.033,0.520±0.038,0.543±0.025,0.511±0.034
pems,0.860±0.013,0.854±0.012,0.864±0.005,0.858±0.012,0.857±0.010,0.869±0.015,0.858±0.011,0.842±0.013,0.865±0.014,0.858±0.022
balance,0.637±0.012,0.627±0.024,0.640±0.012,0.661±0.024,0.648±0.025,0.637±0.016,0.636±0.014,0.638±0.012,0.653±0.016,0.640±0.017
breast,0.044±0.010,0.031±0.006,0.029±0.008,0.031±0.011,0.028±0.004,0.029±0.007,0.032±0.012,0.031±0.007,0.029±0.006,0.102±0.070
pima,0.265±0.017,0.263±0.020,0.260±0.020,0.273±0.007,0.256±0.011,0.266±0.017,0.270±0.010,0.285±0.019,0.260±0.020,0.289±0.008
diabetic,0.481±0.021,0.487±0.018,0.482±0.021,0.480±0.021,0.479±0.022,0.491±0.015,0.485±0.026,0.477±0.023,0.471±0.023,0.492±0.014
waveform,0.666±0.005,0.667±0.005,0.666±0.005,0.666±0.004,0.661±0.004,0.666±0.005,0.667±0.004,0.667±0.009,0.667±0.005,0.665±0.002
mlprove,0.836±0.006,0.836±0.005,0.835±0.007,0.835±0.006,0.836±0.006,0.836±0.006,0.835±0.004,0.836±0.009,0.833±0.006,0.833±0.011
