Dataset,r-BP,r-FBP,r-FP,s-BP,s-FBP,s-FP,t-BP,t-FBP,t-FP
lsvt,0.479±0.049,0.476±0.041,0.435±0.067,0.438±0.036,0.448±0.045,0.454±0.037,0.470±0.037,0.429±0.028,0.422±0.059
iris,0.171±0.066,0.197±0.064,0.256±0.067,0.152±0.047,0.139±0.036,0.136±0.027,0.160±0.048,0.133±0.032,0.147±0.046
wine,0.088±0.037,0.148±0.077,0.169±0.091,0.031±0.017,0.016±0.006,0.018±0.009,0.020±0.013,0.018±0.006,0.025±0.011
spect,0.484±0.036,0.494±0.021,0.497±0.045,0.481±0.037,0.470±0.041,0.479±0.037,0.466±0.039,0.500±0.033,0.461±0.039
ionosphere,0.507±0.027,0.508±0.020,0.509±0.017,0.531±0.051,0.536±0.060,0.524±0.034,0.544±0.039,0.536±0.048,0.527±0.036
pems,0.868±0.025,0.841±0.017,0.868±0.019,0.859±0.010,0.855±0.009,0.859±0.013,0.859±0.016,0.852±0.010,0.860±0.024
balance,0.654±0.015,0.656±0.013,0.663±0.028,0.635±0.012,0.658±0.018,0.658±0.031,0.632±0.025,0.654±0.016,0.655±0.039
breast,0.041±0.009,0.079±0.034,0.069±0.048,0.044±0.010,0.024±0.003,0.027±0.005,0.033±0.007,0.032±0.007,0.028±0.006
pima,0.284±0.013,0.371±0.036,0.320±0.065,0.259±0.017,0.260±0.023,0.266±0.016,0.267±0.018,0.264±0.017,0.259±0.014
diabetic,0.494±0.028,0.504±0.023,0.500±0.019,0.489±0.026,0.486±0.013,0.482±0.019,0.478±0.020,0.480±0.014,0.485±0.025
waveform,0.652±0.004,0.659±0.011,0.659±0.006,0.668±0.003,0.666±0.008,0.664±0.007,0.668±0.008,0.665±0.008,0.667±0.011
mlprove,0.828±0.006,0.831±0.005,0.830±0.009,0.836±0.005,0.835±0.005,0.835±0.005,0.835±0.004,0.834±0.004,0.832±0.007
